source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
"SLANINA - suva, masna","MESO, RIBA, JAJA",2,,,review,,797.1,4.0,85.0,0.0,50.0,
SARDINE U ULJU,"MESO, RIBA, JAJA",2,,,review,,337.1,19.7,28.3,0.0,80.0,
TUNJEVINA U ULJU,"MESO, RIBA, JAJA",2,,,review,,293.2,22.8,22.0,0.0,65.0,
BELANCE kokošjeg jajeta,"MESO, RIBA, JAJA",2,,,review,,44.8,11.0,0.0,0.0,0.0,
ŽUMANCE kokošjeg jajeta,"MESO, RIBA, JAJA",2,,,review,,368.3,16.0,33.0,1.0,1300.0,
"JAJE - celo, kokošje","MESO, RIBA, JAJA",2,,,review,,154.1,16.0,33.0,1.0,520.0,
"KRAVLJE MLEKO 1,8% M.M.",MLEKO I MLEČNI PROIZVODI,2,mleko,mleko,applied,manual,50.0,3.5,1.8,5.0,3.0,
"KRAVLJE MLEKO 2,2% M.M.",MLEKO I MLEČNI PROIZVODI,2,mleko,mleko,applied,manual,51.0,2.9,2.2,4.5,,
"KRAVLJE MLEKO 2,8% M.M.",MLEKO I MLEČNI PROIZVODI,2,mleko,mleko,applied,manual,58.5,3.3,2.8,4.7,13.0,
"KRAVLJE MLEKO 3,2% M.M",MLEKO I MLEČNI PROIZVODI,2,mleko,mleko,applied,manual,62.2,3.3,3.3,4.7,13.0,
"JOGURT 3,2% M.M.",MLEKO I MLEČNI PROIZVODI,2,jogurt,jogurt,applied,manual,62.2,3.5,3.2,4.7,13.0,
"JOGURT ELLA 0,9% M.M.",MLEKO I MLEČNI PROIZVODI,2,,,review,,40.0,3.2,0.9,3.8,,
SOJINO MLEKO,MLEKO I MLEČNI PROIZVODI,2,,,review,,528.0,2.72,27.1,65.7,5.0,
KEFIR,MLEKO I MLEČNI PROIZVODI,2,,,review,,61.2,3.0,4.0,3.0,10.0,
MLEKO U PRAHU - punomasno,MLEKO I MLEČNI PROIZVODI,2,,,review,,490.0,26.3,25.1,39.8,109.0,
KISELA PAVLAKA 20% M.M.,MLEKO I MLEČNI PROIZVODI,2,kisela_pavlaka,kisela pavlaka,applied,manual,210.2,2.8,20.0,3.9,66.0,kisela_pavlaka:kisela pavlaka:0.80
"KISELA PAVL. Mileram 21,5% M.M.",MLEKO I MLEČNI PROIZVODI,2,,,review,,217.0,3.0,21.5,2.9,,
